Chave_Geo,Nome_Freguesia,Total_Produtores,Total_Idosos,Percentagem_Baixa_Escolaridade,Area_Temporarias,Area_Permanentes,Superficie_Media_Exploracao,Percentagem_Envelhecimento
150913,União das freguesias de São Domingos e Vale de Água,165,75,72,3776,191,80.6,45.45
151302,Porto Covo,59,25,78,2120,196,50.0,42.37
151301,Sines,75,48,84,1961,59,36.0,64.0
020102,Ervidel,45,27,78,1433,1139,48.7,60.0
020103,Messejana,76,29,70,5190,649,98.5,38.16
020104,São João de Negrilhos,84,40,77,2394,1958,47.5,47.62
020106,União das freguesias de Aljustrel e Rio de Moinhos,150,53,72,10054,3153,105.4,35.33
020208,Aldeia dos Fernandes,18,9,78,221,34,65.6,50.0
020203,Rosário,41,20,71,2004,23,121.6,48.78
020205,Santa Cruz,89,45,71,1433,436,76.6,50.56
020206,São Barnabé,72,40,85,904,101,28.1,55.56
020209,União das freguesias de Almodôvar e Graça dos Padrões,207,98,79,12991,942,87.4,47.34
020210,União das freguesias de Santa Clara-a-Nova e Gomes Aires,213,145,84,3188,635,54.4,68.08
020301,Alvito,126,61,64,2755,2217,76.7,48.41
020302,Vila Nova da Baronia,104,49,65,2400,1224,70.3,47.12
020401,Barrancos,191,85,70,116,679,62.0,44.5
020502,Baleizão,52,25,62,2728,6190,146.1,48.08
020503,Beringel,42,26,81,730,136,23.9,61.9
020504,Cabeça Gorda,71,39,66,2401,1301,73.4,54.93
020506,Nossa Senhora das Neves,109,44,68,1469,2239,30.9,40.37
020510,Santa Clara de Louredo,25,9,52,1429,2763,94.3,36.0
020516,São Matias,35,17,54,2672,1335,217.9,48.57
020519,União das freguesias de Albernoa e Trindade,93,39,66,8651,3845,180.5,41.94
020520,União das freguesias de Beja (Salvador e Santa Maria da Feira),106,51,63,1178,799,18.1,48.11
020521,União das freguesias de Beja (Santiago Maior e São João Baptista),78,47,64,2200,2635,62.4,60.26
020522,União das freguesias de Salvada e Quintos,140,53,52,3723,3631,81.4,37.86
020523,União das freguesias de Santa Vitória e Mombeja,110,44,72,6705,5548,95.8,40.0
020524,União das freguesias de Trigaches e São Brissos,74,37,62,2336,912,52.1,50.0
020603,Entradas,47,16,61,3170,54,135.6,34.04
020604,Santa Bárbara de Padrões,46,19,74,2015,254,81.0,41.3
020605,São Marcos da Ataboeira,32,12,78,2918,239,199.2,37.5
020606,União das freguesias de Castro Verde e Casével,201,91,72,20728,774,132.0,45.27
020701,Cuba,132,58,61,2812,1416,50.3,43.94
020702,Faro do Alentejo,27,17,63,345,991,84.4,62.96
020703,Vila Alva,107,46,63,738,616,22.2,42.99
020704,Vila Ruiva,67,35,76,146,442,11.3,52.24
020803,Figueira dos Cavaleiros,75,27,60,3176,4936,146.3,36.0
020804,Odivelas,32,11,56,1714,2531,151.7,34.38
020807,União das freguesias de Alfundão e Peroguarda,81,36,60,2023,3245,66.4,44.44
020808,União das freguesias de Ferreira do Alentejo e Canhestros,329,152,71,11858,9193,70.5,46.2
020901,Alcaria Ruiva,124,38,57,5777,2387,132.4,30.65
020902,Corte do Pinto,49,10,71,4406,31,90.6,20.41
020903,Espírito Santo,86,48,69,1014,2144,100.8,55.81
020904,Mértola,176,68,72,2969,3226,129.2,38.64
020905,Santana de Cambas,109,40,64,2205,381,109.0,36.7
020906,São João dos Caldeireiros,50,24,80,1655,1281,163.8,48.0
020910,"União das freguesias de São Miguel do Pinheiro, São Pedro de Solis e São Sebastião dos Carros",176,82,72,9901,5674,112.7,46.59
021001,Amareleja,324,169,79,909,3320,21.9,52.16
021002,Póvoa de São Miguel,253,119,72,2359,4796,45.4,47.04
021008,Sobral da Adiça,193,99,71,1932,3964,44.2,51.3
021009,União das freguesias de Moura (Santo Agostinho e São João Baptista) e Santo Amador,430,209,71,4532,9863,54.9,48.6
021010,União das freguesias de Safara e Santo Aleixo da Restauração,234,126,80,2375,2303,55.9,53.85
021203,Ourique,202,88,67,9339,504,100.6,43.56
021206,Santana da Serra,214,142,86,3048,273,38.5,66.36
021207,União das freguesias de Garvão e Santa Luzia,80,37,67,1898,286,67.3,46.25
021208,União das freguesias de Panoias e Conceição,77,29,66,7587,272,141.6,37.66
021302,Brinches,182,88,74,1121,4462,36.0,48.35
021303,Pias,348,174,74,2272,9286,34.8,50.0
021308,União das freguesias de Serpa (Salvador e Santa Maria),399,152,66,16156,7372,76.6,38.1
021309,União das freguesias de Vila Nova de São Bento e Vale de Vargo,554,297,80,8267,5059,42.0,53.61
021307,Vila Verde de Ficalho,254,122,68,1205,2041,30.0,48.03
021401,Pedrógão,90,40,71,2734,3276,95.5,44.44
021402,Selmes,107,50,58,1737,5628,69.3,46.73
021403,Vidigueira,147,80,74,239,818,7.8,54.42
021404,Vila de Frades,121,58,66,221,856,12.1,47.93
140301,Almeirim,201,100,74,2890,2357,0.0,49.75
140302,Benfica do Ribatejo,185,109,84,1946,468,0.0,58.92
140303,Fazendas de Almeirim,281,150,91,754,989,0.0,53.38
140304,Raposa,14,6,64,386,125,0.0,42.86
140401,Alpiarça,234,125,78,3201,1013,0.0,53.42
110301,Alcoentre,105,43,79,301,643,0.0,40.95
110302,Aveiras de Baixo,34,18,56,231,54,0.0,52.94
