
Quadro extraído em 29 de Junho de 2026 (13:54:42)
http://www.ine.pt



Localização geográfica (Região agrária/ Ilha);Superfície agrícola utilizada média por exploração (ha) por Localização geográfica (Região agrária/ Ilha) -  Decenal (1) ;
;Período de referência dos dados;
;2019;
;ha ;
106151302: Porto Covo;50;
106151301: Sines;36;
106121501: Cano;46,6;
106121502: Casa Branca;56,7;
106121503: Santo Amaro;61,7;
106121504: Sousel;39,3;
106071202: Landeira;402,5;
106071201: Vendas Novas;57,6;
106071303: Aguiar;212,9;
106071301: Alcáçovas;152,2;
106071302: Viana do Alentejo;50,9;
106021401: Pedrógão;95,5;
106021402: Selmes;69,3;
106021403: Vidigueira;7,8;
106021404: Vila de Frades;12,1;
106071401: Bencatel;131,1;
106071402: Ciladas;166,2;
106071406: Nossa Senhora da Conceição e São Bartolomeu;14;
106071404: Pardais;24,3;

Superfície agrícola utilizada média por exploração (ha) por Localização geográfica (Região agrária/ Ilha) -  Decenal - INE, Recenseamento agrícola - séries históricas

Nota(s):
(1) Os registos anteriores a 2019 foram recalculados segundo as sucessivas reorganizações administrativas do território até à versão atual.<br>Não foi possível realizar a conversão total das freguesias dos municípios de Odemira, Lisboa, Loures, Sintra, Amadora, Nordeste e Ponta Delgada.<br>Nestes municípios, os resultados para o nível geográfico da freguesia poderão estar subavaliados, não se refletindo este problema nos níveis geográficos superiores.



Última atualização destes dados: 31 de março de 2021


Metainformação associada ao quadro

Superfície agrícola utilizada média por exploração (ha)
Designação;Superfície agrícola utilizada média por exploração (ha) por Localização geográfica (Região agrária/ Ilha) -  Decenal
Periodicidade;Decenal
Fonte;INE, Recenseamento agrícola - séries históricas
Primeiro período disponível;1989
Último período disponível;2019
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (Região agrária/ Ilha)
Conceitos
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     SUPERFÍCIE AGRÍCOLA UTILIZADA;Superfície da exploração que inclui terras aráveis (limpas e sobcoberto de povoamentos florestais), hortas familiares, culturas permanentes e pastagens permanentes.
     EXPLORAÇÃO AGRÍCOLA;Unidade técnico-económica que utiliza fatores de produção comuns, tais como mão de obra, máquinas, instalações, terrenos, entre outros, e satisfaz obrigatoriamente as quatro condições seguintes: 1) produzir produtos agrícolas ou manter, em boas condições agrícolas e ambientais, as terras que já não são utilizadas para fins produtivos; 2) atingir ou ultrapassar uma certa dimensão (em área ou número de animais); 3) estar submetida a uma gestão única; 4) estar localizada numa área bem determinada e identificável
Definição;
Fórmula;Total de superfície agrícola utilizada (ha)/ Número total de explorações
Unidade de Medida (símbolo);Hectare (ha)
Potência de 10;0
Data da última atualização;31-Mar-2021
