
Quadro extraído em 29 de Junho de 2026 (13:26:54)
http://www.ine.pt



Localização geográfica (NUTS - 2013);Proporção de produtores agrícolas singulares (%) por Localização geográfica (NUTS - 2013) e Nível de escolaridade -  Decenal (1) ;;;;;
;Período de referência dos dados;;;;;
;2019;;;;;
;Nível de escolaridade;;;;;
;Total;Nenhum;Básico;Secundário/Pós-secundário;Superior;
;% ;% ;% ;% ;% ;
187070302: Orada;100;24;60;11;5;
187070303: Rio de Moinhos;100;12;55;14;18;
187070401: Arcos;100;11;58;18;14;
187070404: Évora Monte (Santa Maria);100;15;42;20;22;
187070402: Glória;100;18;43;20;18;
187070411: São Domingos de Ana Loura;100;7;67;11;15;
187070414: União das freguesias de Estremoz (Santa Maria e Santo André);100;10;55;17;18;
187070415: União das freguesias de São Bento do Cortiço e Santo Estêvão;100;9;55;17;19;
187070416: União das freguesias de São Lourenço de Mamporcão e São Bento de Ana Loura;100;5;55;17;24;
187070417: União das freguesias do Ameixial (Santa Vitória e São Bento);100;9;55;14;22;
187070413: Veiros;100;4;56;22;18;
187070515: Canaviais;100;9;52;16;22;
187070502: Nossa Senhora da Graça do Divor;100;4;36;25;36;
187070503: Nossa Senhora de Machede;100;10;55;11;24;
187070506: São Bento do Mato;100;4;51;9;36;
187070509: São Miguel de Machede;100;9;57;17;17;
187070513: Torre de Coelheiros;100;3;52;24;21;
187070522: União das freguesias de Bacelo e Senhora da Saúde;100;6;50;18;26;
187070523: União das freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão);100;- -;63;- -;38;
187070524: União das freguesias de Malagueira e Horta das Figueiras;100;4;52;22;23;
187070525: União das freguesias de Nossa Senhora da Tourega e Nossa Senhora de Guadalupe;100;4;53;16;27;
187070526: União das freguesias de São Manços e São Vicente do Pigeiro;100;4;60;16;20;
187070527: União das freguesias de São Sebastião da Giesteira e Nossa Senhora da Boa Fé;100;- -;55;17;28;
187070601: Cabrela;100;14;49;14;23;
187070607: Ciborro;100;7;53;13;27;
187070610: Foros de Vale de Figueira;100;2;69;12;17;
187070605: Santiago do Escoural;100;2;40;28;31;
187070606: São Cristóvão;100;1;55;13;30;
187070611: União das freguesias de Cortiçadas de Lavre e Lavre;100;- -;52;18;30;
187070612: União das freguesias de Nossa Senhora da Vila, Nossa Senhora do Bispo e Silveiras;100;4;59;14;23;
187070701: Brotas;100;- -;50;19;31;
187070702: Cabeção;100;12;49;27;12;
187070703: Mora;100;8;28;30;35;
187070704: Pavia;100;7;66;9;17;
187070801: Granja;100;5;68;8;19;
187070802: Luz;100;3;58;22;17;
187070803: Mourão;100;9;62;12;17;
187070903: Monte do Trigo;100;9;66;13;13;
187070905: Portel;100;6;62;16;16;
187070906: Santana;100;6;72;13;9;
187070909: União das freguesias de Amieira e Alqueva;100;19;58;13;11;
187070910: União das freguesias de São Bartolomeu do Outeiro e Oriola;100;11;67;10;11;
187070908: Vera Cruz;100;12;59;18;10;
187071001: Montoito;100;11;52;13;24;
187071002: Redondo;100;9;63;13;15;
187071102: Corval;100;6;61;14;19;
187071103: Monsaraz;100;1;70;16;14;
187071104: Reguengos de Monsaraz;100;5;63;15;17;
187071106: União das freguesias de Campo e Campinho;100;12;66;5;17;
187071202: Landeira;100;14;64;- -;21;
187071201: Vendas Novas;100;7;73;9;10;
187071303: Aguiar;100;8;58;8;25;
187071301: Alcáçovas;100;4;61;19;16;
187071302: Viana do Alentejo;100;11;60;15;13;
187071401: Bencatel;100;- -;58;11;32;
187071402: Ciladas;100;7;43;18;32;
187071406: Nossa Senhora da Conceição e São Bartolomeu;100;10;62;17;11;
187071404: Pardais;100;11;57;17;14;

Proporção de produtores agrícolas singulares (%) por Localização geográfica (NUTS - 2013) e Nível de escolaridade -  Decenal - INE, Recenseamento agrícola - séries históricas

Nota(s):
(1) Os registos anteriores a 2019 foram recalculados segundo as sucessivas reorganizações administrativas do território até à versão atual.<br>Não foi possível realizar a conversão total das freguesias dos municípios de Odemira, Lisboa, Loures, Sintra, Amadora, Nordeste e Ponta Delgada.<br>Nestes municípios, os resultados para o nível geográfico da freguesia poderão estar subavaliados, não se refletindo este problema nos níveis geográficos superiores.



Última atualização destes dados: 31 de março de 2021


Metainformação associada ao quadro

Proporção de produtores agrícolas singulares (%)
Designação;Proporção de produtores agrícolas singulares (%) por Localização geográfica (NUTS - 2013) e Nível de escolaridade -  Decenal
