
Quadro extraído em 29 de Junho de 2026 (13:46:54)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2013);Superfície agrícola utilizada (ha) por Localização geográfica (NUTS - 2013), Composição da superfície agrícola utilizada e Classes de superfície agrícola utilizada -  Decenal (1) ;;;
;;Composição da superfície agrícola utilizada;;;
;;Terras aráveis;Culturas permanentes;Pastagens permanentes;
;;Classes de superfície agrícola utilizada;;;
;;Total;;;
;;ha ;ha ;ha ;
;187070416: União das freguesias de São Lourenço de Mamporcão e São Bento de Ana Loura;1351;208;2942;
;187070417: União das freguesias do Ameixial (Santa Vitória e São Bento);2356;2127;5742;
;187070413: Veiros;1428;595;1236;
;187070515: Canaviais;249;65;1760;
;187070502: Nossa Senhora da Graça do Divor;1837;110;4439;
;187070503: Nossa Senhora de Machede;3743;2579;9554;
;187070506: São Bento do Mato;583;68;5197;
;187070509: São Miguel de Machede;1325;303;4736;
;187070513: Torre de Coelheiros;2254;956;16440;
;187070522: União das freguesias de Bacelo e Senhora da Saúde;481;215;1875;
;187070523: União das freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão);7;41;456;
;187070524: União das freguesias de Malagueira e Horta das Figueiras;2293;2251;8703;
;187070525: União das freguesias de Nossa Senhora da Tourega e Nossa Senhora de Guadalupe;3252;898;16899;
;187070526: União das freguesias de São Manços e São Vicente do Pigeiro;2906;4231;6792;
;187070527: União das freguesias de São Sebastião da Giesteira e Nossa Senhora da Boa Fé;865;518;5839;
;187070601: Cabrela;2989;2000;9063;
;187070607: Ciborro;426;52;3567;
;187070610: Foros de Vale de Figueira;1627;448;3587;
;187070605: Santiago do Escoural;1563;642;10371;
;187070606: São Cristóvão;1649;319;11883;
;187070611: União das freguesias de Cortiçadas de Lavre e Lavre;2711;2230;9083;
;187070612: União das freguesias de Nossa Senhora da Vila, Nossa Senhora do Bispo e Silveiras;7752;1947;35600;
;187070701: Brotas;1648;205;6750;
;187070702: Cabeção;783;351;1618;
;187070703: Mora;1288;1698;6659;
;187070704: Pavia;8467;2153;36731;
;187070801: Granja;884;539;10435;
;187070802: Luz;1405;609;261;
;187070803: Mourão;4402;1450;2735;
;187070903: Monte do Trigo;2538;1419;3917;
;187070905: Portel;1589;1409;13020;
;187070906: Santana;810;436;2422;
;187070909: União das freguesias de Amieira e Alqueva;964;751;8544;
;187070910: União das freguesias de São Bartolomeu do Outeiro e Oriola;1561;766;3546;
;187070908: Vera Cruz;96;349;2085;
;187071001: Montoito;1634;2844;2050;
;187071002: Redondo;3975;3385;20552;
;187071102: Corval;1465;1862;4134;
;187071103: Monsaraz;1033;598;3403;
;187071104: Reguengos de Monsaraz;1383;3550;4271;
;187071106: União das freguesias de Campo e Campinho;4321;803;5330;
;187071202: Landeira;354;2634;3854;
;187071201: Vendas Novas;1596;1092;6749;
;187071303: Aguiar;666;22;2718;
;187071301: Alcáçovas;3449;344;17661;
;187071302: Viana do Alentejo;1511;1055;4249;
;187071401: Bencatel;587;115;2706;
;187071402: Ciladas;1583;739;8314;
;187071406: Nossa Senhora da Conceição e São Bartolomeu;194;575;1010;
;187071404: Pardais;82;169;672;

Superfície agrícola utilizada (ha) por Localização geográfica (NUTS - 2013), Composição da superfície agrícola utilizada e Classes de superfície agrícola utilizada -  Decenal - INE, Recenseamento agrícola - séries históricas

Nota(s):
(1) Os registos anteriores a 2019 foram recalculados segundo as sucessivas reorganizações administrativas do território até à versão atual.<br>Não foi possível realizar a conversão total das freguesias dos municípios de Odemira, Lisboa, Loures, Sintra, Amadora, Nordeste e Ponta Delgada.<br>Nestes municípios, os resultados para o nível geográfico da freguesia poderão estar subavaliados, não se refletindo este problema nos níveis geográficos superiores.



Última atualização destes dados: 31 de março de 2021


Metainformação associada ao quadro

Superfície agrícola utilizada (ha)
Designação;Superfície agrícola utilizada (ha) por Localização geográfica (NUTS - 2013), Composição da superfície agrícola utilizada e Classes de superfície agrícola utilizada -  Decenal
Periodicidade;Decenal
Fonte;INE, Recenseamento agrícola - séries históricas
Primeiro período disponível;1989
Último período disponível;2019
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (NUTS - 2013)
     Dimensão 3;Composição da superfície agrícola utilizada
     Dimensão 4;Classes de superfície agrícola utilizada
Conceitos
     EXPLORAÇÃO AGRÍCOLA;Unidade técnico-económica que utiliza fatores de produção comuns, tais como mão de obra, máquinas, instalações, terrenos, entre outros, e satisfaz obrigatoriamente as quatro condições seguintes: 1) produzir produtos agrícolas ou manter, em boas condições agrícolas e ambientais, as terras que já não são utilizadas para fins produtivos; 2) atingir ou ultrapassar uma certa dimensão (em área ou número de animais); 3) estar submetida a uma gestão única; 4) estar localizada numa área bem determinada e identificável
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     SUPERFÍCIE AGRÍCOLA UTILIZADA;Superfície da exploração que inclui terras aráveis (limpas e sobcoberto de povoamentos florestais), hortas familiares, culturas permanentes e pastagens permanentes.
Definição;
Fórmula;
Unidade de Medida (símbolo);Hectare (ha)
Potência de 10;0
Data da última atualização;31-Mar-2021
